raw_term,source,raw_term_norm,exists_in_esco
Amazon Inspector,Lightcast,amazon inspector,False
Amazon Macie,Lightcast,amazon macie,False
Angr,Lightcast,angr,False
Anomaly Detection,Lightcast,anomaly detection,False
Anti-Spam Techniques,Lightcast,antispam techniques,False
Application Security,Lightcast,application security,False
Application Security Testing,Lightcast,application security testing,False
Attack Patterns,Lightcast,attack patterns,False
Attack Surface Management,Lightcast,attack surface management,False
Audit Info System (AIS),Lightcast,audit info system ais,False
AWS CloudHSM,Lightcast,aws cloudhsm,False
AWS CloudTrail,Lightcast,aws cloudtrail,False
AWS Key Management Service (KMS),Lightcast,aws key management service kms,False
Azure Policy,Lightcast,azure policy,False
Azure Security,Lightcast,azure security,False
Big Ip,Lightcast,big ip,False
Bloodhound,Lightcast,bloodhound,False
Bouncy Castle,Lightcast,bouncy castle,False
Brakeman,Lightcast,brakeman,False
Brute Force Attacks,Lightcast,brute force attacks,False
Buffer Overflow,Lightcast,buffer overflow,False
Burp Suite,Lightcast,burp suite,False
Captcha,Lightcast,captcha,False
Certificate Authority,Lightcast,certificate authority,False
Certified Ethical Hacker,Lightcast,certified ethical hacker,False
Certified Information Security Manager,Lightcast,certified information security manager,False
Certified Information Systems Security Professional,Lightcast,certified information systems security professional,False
Certified Penetration Testing Engineer (CPTE),Lightcast,certified penetration testing engineer cpte,False
Charles Proxy,Lightcast,charles proxy,False
Checkmarx,Lightcast,checkmarx,False
CIA Triad,Lightcast,cia triad,False
Clickjacking,Lightcast,clickjacking,False
Cloud Identity and Access Management (IAM),Lightcast,cloud identity and access management iam,False
Cloud Penetration Testing,Lightcast,cloud penetration testing,False
Cloud Security Applications,Lightcast,cloud security applications,False
Cloudflare,Lightcast,cloudflare,False
Code Injection,Lightcast,code injection,False
Code Signing,Lightcast,code signing,False
Common Vulnerability Scoring System (CVSS),Lightcast,common vulnerability scoring system cvss,False
Communications Security,Lightcast,communications security,False
Computer Security,Lightcast,computer security,False
Computer Security Incident Response,Lightcast,computer security incident response,False
Container Security,Lightcast,container security,False
Content Filtering,Lightcast,content filtering,False
Content Security Policy,Lightcast,content security policy,False
Data Scraping,Lightcast,data scraping,False
OpenTelemetry,Lightcast,opentelemetry,False
Scrapy (Web Crawler),Lightcast,scrapy web crawler,False
Web Crawling,Lightcast,web crawling,False
Statistical Data Collection,Lightcast,statistical data collection,False
Apache Accumulo,Lightcast,apache accumulo,False
Apache Atlas,Lightcast,apache atlas,False
Apache Derby,Lightcast,apache derby,False
Amazon Timestream,Lightcast,amazon timestream,False
AWS Big Data,Lightcast,aws big data,False
Azure Synapse Analytics,Lightcast,azure synapse analytics,False
Big Data Application,Lightcast,big data application,False
Bulk Import,Lightcast,bulk import,False
Complex Event Processing,Lightcast,complex event processing,False
Data Aggregation,Lightcast,data aggregation,False
Data Collection,Lightcast,data collection,False
Data Extraction,Lightcast,data extraction,False
Data Ingestion,Lightcast,data ingestion,False
Data Management,Lightcast,data management,False
Data Governance,Lightcast,data governance,False
Data Quality,Lightcast,data quality,False
Data Wrangling,Lightcast,data wrangling,False
Dataset,Lightcast,dataset,False
Databricks,Lightcast,databricks,False
Hadoop2,Lightcast,hadoop2,False
Hash Table,Lightcast,hash table,False
KNIME,Lightcast,knime,False
LlamaIndex,Lightcast,llamaindex,False
Metadata Management,Lightcast,metadata management,False
OpenData,Lightcast,opendata,False
Query Optimization,Lightcast,query optimization,False
Stream Processing,Lightcast,stream processing,False
Talend,Lightcast,talend,False
Trifacta,Lightcast,trifacta,False
Data Warehouse Systems,Lightcast,data warehouse systems,False
Apache Kafka,Lightcast,apache kafka,False
Apache Cassandra,Lightcast,apache cassandra,False
Apache HBase,Lightcast,apache hbase,False
ClickHouse DBMS,Lightcast,clickhouse dbms,False
Cloud Firestore,Lightcast,cloud firestore,False
CockroachDB,Lightcast,cockroachdb,False
CouchDB,Lightcast,couchdb,False
Graph Database,Lightcast,graph database,False
GraphDB,Lightcast,graphdb,False
InfluxDB,Lightcast,influxdb,False
MariaDB,Lightcast,mariadb,False
MongoDB,Lightcast,mongodb,False
Neo4j,Lightcast,neo4j,False
Oracle Database,Lightcast,oracle database,False
Redis,Lightcast,redis,False
Relational Databases,Lightcast,relational databases,False
SAP HANA,Lightcast,sap hana,False
SQLite,Lightcast,sqlite,False
Teradata SQL,Lightcast,teradata sql,False
Extended Reality,Lightcast,extended reality,False
Metaverse,Lightcast,metaverse,False
WebXR,Lightcast,webxr,False
WebVR,Lightcast,webvr,False
XR Development,Lightcast,xr development,False
raw_term,source,raw_term,False
Access Control Facility,Lightcast,access control facility,False
Broadcom Endevor,Lightcast,broadcom endevor,False
Coupling Facility,Lightcast,coupling facility,False
Customer Information Control System (CICS),Lightcast,customer information control system cics,False
Easytrieve,Lightcast,easytrieve,False
Enterprise Systems Connection (ESCON),Lightcast,enterprise systems connection escon,False
FileAid (Software),Lightcast,fileaid software,False
IBM Mainframe,Lightcast,ibm mainframe,False
IBM OMEGAMON,Lightcast,ibm omegamon,False
IBM System Z,Lightcast,ibm system z,False
IBM System/370,Lightcast,ibm system370,False
Job Control Language (JCL),Lightcast,job control language jcl,False
Job Entry Subsystem 2/3,Lightcast,job entry subsystem 23,False
Mainframe Computing,Lightcast,mainframe computing,False
Mainframe Testing,Lightcast,mainframe testing,False
Micro Focus Enterprise Developer,Lightcast,micro focus enterprise developer,False
MVS (OS),Lightcast,mvs os,False
Panvalet,Lightcast,panvalet,False
System Display And Search Facility (SDSF),Lightcast,system display and search facility sdsf,False
Virtual Telecommunications Access Methods,Lightcast,virtual telecommunications access methods,False
AWS CLI (Command Line Interface),Lightcast,aws cli command line interface,False
Batch Files,Lightcast,batch files,False
Batch Scripting,Lightcast,batch scripting,False
Bourne Shell,Lightcast,bourne shell,False
CGI Scripting,Lightcast,cgi scripting,False
Command-Line Interface,Lightcast,commandline interface,False
Cron,Lightcast,cron,False
Custom Scripting,Lightcast,custom scripting,False
Linux Scripting,Lightcast,linux scripting,False
Secure Shell Protocol (SSH),Lightcast,secure shell protocol ssh,False
Shell Script,Lightcast,shell script,False
Unix Shell,Lightcast,unix shell,False
Windows PowerShell,Lightcast,windows powershell,False
ActivePerl,Lightcast,activeperl,False
AppleScript (Scripting Language),Lightcast,applescript scripting language,False
AutoHotkey,Lightcast,autohotkey,False
AWK (Programming Language),Lightcast,awk programming language,False
Bash (Scripting Language),Lightcast,bash scripting language,False
BeanShell,Lightcast,beanshell,False
ClojureScript,Lightcast,clojurescript,False
COBOL (Programming Language),Lightcast,cobol programming language,False
Crystal (Programming Language),Lightcast,crystal programming language,False
ECMAScript,Lightcast,ecmascript,False
ExtendScript,Lightcast,extendscript,False
Gherkin (Scripting Language),Lightcast,gherkin scripting language,False
Groovy (Programming Language),Lightcast,groovy programming language,False
JavaScript (Programming Language),Lightcast,javascript programming language,False
Julia (Programming Language),Lightcast,julia programming language,False
Lua (Scripting Language),Lightcast,lua scripting language,False
Perl (Programming Language),Lightcast,perl programming language,False
PHP (Scripting Language),Lightcast,php scripting language,False
Python (Programming Language),Lightcast,python programming language,False
R (Programming Language),Lightcast,r programming language,False
Ruby (Programming Language),Lightcast,ruby programming language,False
Tcl (Programming Language),Lightcast,tcl programming language,False
VBScript (Visual Basic Scripting Edition),Lightcast,vbscript visual basic scripting edition,False
Agile Testing,Lightcast,agile testing,False
AI Testing,Lightcast,ai testing,False
API Testing,Lightcast,api testing,False
Application Performance Management,Lightcast,application performance management,False
Automated Testing Framework,Lightcast,automated testing framework,False
Black-Box Testing,Lightcast,blackbox testing,False
Boundary Testing,Lightcast,boundary testing,False
Bug Tracking And Management,Lightcast,bug tracking and management,False
Code Coverage,Lightcast,code coverage,False
Code Review,Lightcast,code review,False
Defect Management,Lightcast,defect management,False
Exploratory Testing,Lightcast,exploratory testing,False
Functional Testing,Lightcast,functional testing,False
Integration Testing,Lightcast,integration testing,False
Load Testing,Lightcast,load testing,False
Manual Testing,Lightcast,manual testing,False
Non-Functional Testing,Lightcast,nonfunctional testing,False
Regression Testing,Lightcast,regression testing,False
Sanity Testing,Lightcast,sanity testing,False
Selenium (Software),Lightcast,selenium software,False
Smoke Testing,Lightcast,smoke testing,False
Software Testing,Lightcast,software testing,False
Test Automation,Lightcast,test automation,False
Test Case,Lightcast,test case,False
Test Planning,Lightcast,test planning,False
Test Suite,Lightcast,test suite,False
Unit Testing,Lightcast,unit testing,False
User Acceptance Testing (UAT),Lightcast,user acceptance testing uat,False
Web Testing,Lightcast,web testing,False
Version Control,Lightcast,version control,False
Git (Version Control System),Lightcast,git version control system,False
GitHub,Lightcast,github,False
GitLab,Lightcast,gitlab,False
Mercurial,Lightcast,mercurial,False
Perforce,Lightcast,perforce,False
TortoiseGit,Lightcast,tortoisegit,False
TortoiseSVN,Lightcast,tortoisesvn,False
Virtualization,Lightcast,virtualization,False
Containerization,Lightcast,containerization,False
Docker,Lightcast,docker,False
Hyper-V,Lightcast,hyperv,False
Kubernetes,Lightcast,kubernetes,False
Virtual Machines,Lightcast,virtual machines,False
VMware,Lightcast,vmware,False
Web Development,Lightcast,web development,False
Web Frameworks,Lightcast,web frameworks,False
HTML5,Lightcast,html5,False
React,Lightcast,react,False
Vue.js,Lightcast,vuejs,False
Django (Web Framework),Lightcast,django web framework,False
Flask (Web Framework),Lightcast,flask web framework,False
Ruby On Rails,Lightcast,ruby on rails,False
Spring Boot,Lightcast,spring boot,False
Web Accessibility,Lightcast,web accessibility,False
Web Application Development,Lightcast,web application development,False
Web Performance Optimization,Lightcast,web performance optimization,False
Mobile Application Development,Lightcast,mobile application development,False
Android Development,Lightcast,android development,False
Android SDK,Lightcast,android sdk,False
Android Studio,Lightcast,android studio,False
Flutter (Software),Lightcast,flutter software,False
Ionic Framework,Lightcast,ionic framework,False
Xamarin,Lightcast,xamarin,False
iOS Development,Lightcast,ios development,False
Mobile App Testing,Lightcast,mobile app testing,False
Wireless Communications,Lightcast,wireless communications,False
5G Technology,Lightcast,5g technology,False
Bluetooth,Lightcast,bluetooth,False
Wi-Fi Networking,Lightcast,wifi networking,False
Wireless Network Protocols,Lightcast,wireless network protocols,False
Telecommunications,Lightcast,telecommunications,False
Internet Of Things (IoT),Lightcast,internet of things iot,False
raw_term,source,raw_term,False
Adobe JRun,Lightcast,adobe jrun,False
Anorm,Lightcast,anorm,False
Apache Myfaces,Lightcast,apache myfaces,False
Apache Openjpa,Lightcast,apache openjpa,False
Apache Tapestry,Lightcast,apache tapestry,False
Arraylist,Lightcast,arraylist,False
Asadmin,Lightcast,asadmin,False
Asynchronous Javascript and XML (AJAX),Lightcast,asynchronous javascript and xml ajax,False
Atomikos,Lightcast,atomikos,False
Autoboxing,Lightcast,autoboxing,False
Bean Validation,Lightcast,bean validation,False
BlueJ,Lightcast,bluej,False
Bytecode,Lightcast,bytecode,False
Cglib,Lightcast,cglib,False
Deterministic Parallel Java,Lightcast,deterministic parallel java,False
Direct Web Remoting (Java),Lightcast,direct web remoting java,False
Dropwizard,Lightcast,dropwizard,False
EAR (File Format),Lightcast,ear file format,False
Easy Java Simulations,Lightcast,easy java simulations,False
Ebean,Lightcast,ebean,False
Eclemma,Lightcast,eclemma,False
EclipseLink,Lightcast,eclipselink,False
Embedded Java,Lightcast,embedded java,False
Enterprise Java Bean Certificate Authority (EJBCA),Lightcast,enterprise java bean certificate authority ejbca,False
Enterprise JavaBeans,Lightcast,enterprise javabeans,False
Espresso (Java),Lightcast,espresso java,False
Event Listeners (Java),Lightcast,event listeners java,False
Facebook4j,Lightcast,facebook4j,False
Generic Java,Lightcast,generic java,False
Generics In Java,Lightcast,generics in java,False
Google Gson (Java Library),Lightcast,google gson java library,False
Google Guava,Lightcast,google guava,False
Google Guice,Lightcast,google guice,False
Gwt 2.5,Lightcast,gwt 25,False
Hamcrest,Lightcast,hamcrest,False
Hawtio,Lightcast,hawtio,False
Hibernate (Java),Lightcast,hibernate java,False
Hibernate ORM,Lightcast,hibernate orm,False
JaCoCo,Lightcast,jacoco,False
JacORB,Lightcast,jacorb,False
Jakarta EE,Lightcast,jakarta ee,False
Jakarta EE Application,Lightcast,jakarta ee application,False
Jakarta EE Connector Architecture,Lightcast,jakarta ee connector architecture,False
Jakarta EE Version History,Lightcast,jakarta ee version history,False
Jakarta Enterprise Edition,Lightcast,jakarta enterprise edition,False
Jakarta Persistence Query Language,Lightcast,jakarta persistence query language,False
Jakarta Portlet Specification,Lightcast,jakarta portlet specification,False
Jakarta XML Binding,Lightcast,jakarta xml binding,False
Japplet,Lightcast,japplet,False
JAR (Java ARchive),Lightcast,jar java archive,False
Jasypt,Lightcast,jasypt,False
Java (Programming Language),Lightcast,java programming language,False
Java 11,Lightcast,java 11,False
Java 2 Certification,Lightcast,java 2 certification,False
Java 2D,Lightcast,java 2d,False
Java 3D,Lightcast,java 3d,False
Java 7,Lightcast,java 7,False
Java 8,Lightcast,java 8,False
Java 9,Lightcast,java 9,False
Java Access Bridge,Lightcast,java access bridge,False
Java Agent Development Framework,Lightcast,java agent development framework,False
Java Annotation,Lightcast,java annotation,False
Java Applet,Lightcast,java applet,False
Java Application Server,Lightcast,java application server,False
Java Architectures,Lightcast,java architectures,False
Java Authentication And Authorization Services,Lightcast,java authentication and authorization services,False
Java Batch,Lightcast,java batch,False
Java Business Integration,Lightcast,java business integration,False
Java Business Process Management,Lightcast,java business process management,False
Java Bytecode,Lightcast,java bytecode,False
Java Card,Lightcast,java card,False
Java Card OpenPlatform,Lightcast,java card openplatform,False
Java Classloader,Lightcast,java classloader,False
Java Code Coverage Tools,Lightcast,java code coverage tools,False
Java Collections Framework,Lightcast,java collections framework,False
Java Community Process,Lightcast,java community process,False
Java Concurrency,Lightcast,java concurrency,False
Java Console,Lightcast,java console,False
Java Cryptography Architecture,Lightcast,java cryptography architecture,False
Java Cryptography Extension,Lightcast,java cryptography extension,False
Java Data Mining,Lightcast,java data mining,False
Java Data Objects,Lightcast,java data objects,False
Java Database Connectivity,Lightcast,java database connectivity,False
Java Decompiler,Lightcast,java decompiler,False
Java Desktop Network Components,Lightcast,java desktop network components,False
Java Development Kit,Lightcast,java development kit,False
Java Development Tools,Lightcast,java development tools,False
Java Dynamic Management Kit,Lightcast,java dynamic management kit,False
Java Editors,Lightcast,java editors,False
Java GUIs,Lightcast,java guis,False
Java Interface Definition Language,Lightcast,java interface definition language,False
Java KeyStore (JKS),Lightcast,java keystore jks,False
Java Keywords,Lightcast,java keywords,False
Java Management Extensions,Lightcast,java management extensions,False
Java Media Framework,Lightcast,java media framework,False
Java Module,Lightcast,java module,False
Java Naming And Directory Interface,Lightcast,java naming and directory interface,False
Java Native Access,Lightcast,java native access,False
Java Native Interface,Lightcast,java native interface,False
Java Network Launch Protocol (JNLP),Lightcast,java network launch protocol jnlp,False
Java Object Oriented Querying,Lightcast,java object oriented querying,False
Java OpenGL,Lightcast,java opengl,False
Java Package,Lightcast,java package,False
Java Platform Debugger Architecture (JPDA),Lightcast,java platform debugger architecture jpda,False
Java Platform Micro Edition (J2ME),Lightcast,java platform micro edition j2me,False
Java Profiler,Lightcast,java profiler,False
Java Rule Engine API (JSR 94),Lightcast,java rule engine api jsr 94,False
Java Runtime Environment,Lightcast,java runtime environment,False
Java Scripting Languages,Lightcast,java scripting languages,False
Java SE (Standard Edition),Lightcast,java se standard edition,False
Java Secure Socket Extension,Lightcast,java secure socket extension,False
Java Servlet,Lightcast,java servlet,False
Java Simple Plugin Framework (JSPF),Lightcast,java simple plugin framework jspf,False
Java Specification Requests (JSRs),Lightcast,java specification requests jsrs,False
Java Stored Procedure (SQL),Lightcast,java stored procedure sql,False
Java Syntax,Lightcast,java syntax,False
Java Telephony API,Lightcast,java telephony api,False
Java Transaction Service,Lightcast,java transaction service,False
Java TV,Lightcast,java tv,False
Java Web Start,Lightcast,java web start,False
Java XML,Lightcast,java xml,False
Java.util.concurrent,Lightcast,javautilconcurrent,False
Java1.4,Lightcast,java14,False
JavaBeans,Lightcast,javabeans,False
JavaBeans Activation Framework,Lightcast,javabeans activation framework,False
Javac - Java Programming Language Compiler,Lightcast,javac  java programming language compiler,False
JavaCC,Lightcast,javacc,False
Javacv,Lightcast,javacv,False
Javadoc,Lightcast,javadoc,False
JavaFX,Lightcast,javafx,False
JavaFX Script,Lightcast,javafx script,False
JavaPOS,Lightcast,javapos,False
JavaServer Faces,Lightcast,javaserver faces,False
JavaServer Pages,Lightcast,javaserver pages,False
JavaServer Pages Standard Tag Library,Lightcast,javaserver pages standard tag library,False
Javax Tools,Lightcast,javax tools,False
JAX-WS,Lightcast,jaxws,False
Jaybird,Lightcast,jaybird,False
JBoss Enterprise SOA Platforms,Lightcast,jboss enterprise soa platforms,False
JBoss Operations Networks,Lightcast,jboss operations networks,False
Jcache,Lightcast,jcache,False
JConsole,Lightcast,jconsole,False
JCreator,Lightcast,jcreator,False
JDBC Driver,Lightcast,jdbc driver,False
JdbcTemplate,Lightcast,jdbctemplate,False
Jdepend,Lightcast,jdepend,False
Jdialog,Lightcast,jdialog,False
Jdk1.4,Lightcast,jdk14,False
Jdk1.5,Lightcast,jdk15,False
Jdk1.6,Lightcast,jdk16,False
Jdk1.7,Lightcast,jdk17,False
Jdom,Lightcast,jdom,False
Jest (JavaScript Testing Framework),Lightcast,jest javascript testing framework,False
Jetty,Lightcast,jetty,False
JFace (UI Toolkit),Lightcast,jface ui toolkit,False
Jgrapht,Lightcast,jgrapht,False
JGRASP,Lightcast,jgrasp,False
JiBX,Lightcast,jibx,False
Jini,Lightcast,jini,False
Jlist,Lightcast,jlist,False
jMock,Lightcast,jmock,False
JMockit,Lightcast,jmockit,False
Jpa Annotations,Lightcast,jpa annotations,False
JPA2,Lightcast,jpa2,False
Jpcap,Lightcast,jpcap,False
JPOS Framework,Lightcast,jpos framework,False
Jrebel,Lightcast,jrebel,False
JRT,Lightcast,jrt,False
JSDK - Java Servlet Development Kit,Lightcast,jsdk  java servlet development kit,False
JSF 2,Lightcast,jsf 2,False
Jsonkit,Lightcast,jsonkit,False
Jsoup Java HTML Parser,Lightcast,jsoup java html parser,False
Jstack,Lightcast,jstack,False
Jstat,Lightcast,jstat,False
Jtable,Lightcast,jtable,False
Jtree,Lightcast,jtree,False
Jython,Lightcast,jython,False
Lombok,Lightcast,lombok,False
Lomboz,Lightcast,lomboz,False
Managed Bean,Lightcast,managed bean,False
MC4J,Lightcast,mc4j,False
Message Driven Beans,Lightcast,message driven beans,False
Mojarra,Lightcast,mojarra,False
Moshi,Lightcast,moshi,False
MyBatis,Lightcast,mybatis,False
Nashorn,Lightcast,nashorn,False
Non-Blocking I/O (Java),Lightcast,nonblocking io java,False
Omnifaces,Lightcast,omnifaces,False
Openjdk,Lightcast,openjdk,False
OptimalJ,Lightcast,optimalj,False
Oracle Java Certification,Lightcast,oracle java certification,False
Orkut,Lightcast,orkut,False
OSS Through Java,Lightcast,oss through java,False
Permgen,Lightcast,permgen,False
Pnuts,Lightcast,pnuts,False
Powermock,Lightcast,powermock,False
Powermockito,Lightcast,powermockito,False
Primefaces,Lightcast,primefaces,False
Quarkus,Lightcast,quarkus,False
React Hooks,Lightcast,react hooks,False
Real Time Java,Lightcast,real time java,False
RichFaces,Lightcast,richfaces,False
Runnable,Lightcast,runnable,False
RxJava,Lightcast,rxjava,False
Salesforce Certified Javascript Developer I,Lightcast,salesforce certified javascript developer i,False
SAP Java Connector,Lightcast,sap java connector,False
Session Beans,Lightcast,session beans,False
Sigar,Lightcast,sigar,False
Signed Applet,Lightcast,signed applet,False
Smartgwt,Lightcast,smartgwt,False
Solrj,Lightcast,solrj,False
Sqljdbc,Lightcast,sqljdbc,False
Standard Widget Toolkits,Lightcast,standard widget toolkits,False
Static Import,Lightcast,static import,False
Styled-Components,Lightcast,styledcomponents,False
Sun Certified Developer For Java Web Services,Lightcast,sun certified developer for java web services,False
Sun Certified Java Programmer (SCJP),Lightcast,sun certified java programmer scjp,False
Sun Certified Mobile Application Developer,Lightcast,sun certified mobile application developer,False
Sun Java Wireless Toolkits,Lightcast,sun java wireless toolkits,False
SuperWaba,Lightcast,superwaba,False
Swing (Java),Lightcast,swing java,False
Swing Application Framework,Lightcast,swing application framework,False
SwingWorker,Lightcast,swingworker,False
Thymeleaf,Lightcast,thymeleaf,False
Tomcat5.5,Lightcast,tomcat55,False
Tomcat7,Lightcast,tomcat7,False
TopLink,Lightcast,toplink,False
Twitter4j,Lightcast,twitter4j,False
Visual Cafe For Java,Lightcast,visual cafe for java,False
Weblogic11g,Lightcast,weblogic11g,False
Weblogic12c,Lightcast,weblogic12c,False
Wss4j,Lightcast,wss4j,False
XDoclet,Lightcast,xdoclet,False
Xtend - Modernized Java,Lightcast,xtend  modernized java,False
Yoix,Lightcast,yoix,False
Zipkin,Lightcast,zipkin,False
ZK Framework,Lightcast,zk framework,False
.htaccess Files,Lightcast,htaccess files,False
ActiveX Document,Lightcast,activex document,False
Adaptive Design,Lightcast,adaptive design,False
Adobe Business Catalyst,Lightcast,adobe business catalyst,False
Adobe Certified Coldfusion Mx Developer,Lightcast,adobe certified coldfusion mx developer,False
Adobe ColdFusion,Lightcast,adobe coldfusion,False
Adobe Dreamweaver,Lightcast,adobe dreamweaver,False
Adobe Dreamweaver Certification,Lightcast,adobe dreamweaver certification,False
Adobe Edge Animate,Lightcast,adobe edge animate,False
Adobe GoLive,Lightcast,adobe golive,False
Agavi (Framework),Lightcast,agavi framework,False
Ajax.net,Lightcast,ajaxnet,False
Ajax4jsf,Lightcast,ajax4jsf,False
Angular (Web Framework),Lightcast,angular web framework,False
Apache Flex,Lightcast,apache flex,False
Apache Sling,Lightcast,apache sling,False
Apache Struts,Lightcast,apache struts,False
Apache Tiles,Lightcast,apache tiles,False
Apache Turbine,Lightcast,apache turbine,False
Apache Wicket,Lightcast,apache wicket,False
Aptana,Lightcast,aptana,False
ASP.NET Fundamentals,Lightcast,aspnet fundamentals,False
Asynchronous Javascript,Lightcast,asynchronous javascript,False
Avada WordPress Theme,Lightcast,avada wordpress theme,False
Backbase,Lightcast,backbase,False
Beaver Builder,Lightcast,beaver builder,False
Beego,Lightcast,beego,False
Blazor,Lightcast,blazor,False
Bootstrap (Front-End Framework),Lightcast,bootstrap frontend framework,False
Browser Compatibility,Lightcast,browser compatibility,False
Browser Debugging,Lightcast,browser debugging,False
Browser Extension,Lightcast,browser extension,False
Bulma CSS,Lightcast,bulma css,False
Capistrano (Software),Lightcast,capistrano software,False
Carrierwave,Lightcast,carrierwave,False
Cascading Style Sheets (CSS),Lightcast,cascading style sheets css,False
Celery (Software),Lightcast,celery software,False
Certified Web Designer Associate (CWDSA),Lightcast,certified web designer associate cwdsa,False
CGIC (ANSI C Library For CGI Programming),Lightcast,cgic ansi c library for cgi programming,False
Character Encodings In HTML,Lightcast,character encodings in html,False
Client Side Rendering,Lightcast,client side rendering,False
Codepen,Lightcast,codepen,False
Codesign,Lightcast,codesign,False
CoffeeCup HTML Editor,Lightcast,coffeecup html editor,False
ColdBox Platforms,Lightcast,coldbox platforms,False
ColdFusion on Wheels,Lightcast,coldfusion on wheels,False
Compact HyperText Markup Language (C-HTML),Lightcast,compact hypertext markup language chtml,False
Complex Web Systems,Lightcast,complex web systems,False
Constraint Layout,Lightcast,constraint layout,False
Create React App,Lightcast,create react app,False
CreateJS,Lightcast,createjs,False
CSS Animations,Lightcast,css animations,False
CSS Codes,Lightcast,css codes,False
CSS Flex Box Layout,Lightcast,css flex box layout,False
CSS Frameworks,Lightcast,css frameworks,False
CSS Grid,Lightcast,css grid,False
CSS Modules,Lightcast,css modules,False
Custom Tag,Lightcast,custom tag,False
Custom URLs,Lightcast,custom urls,False
Delayed Job,Lightcast,delayed job,False
Devextreme,Lightcast,devextreme,False
Digital Framework,Lightcast,digital framework,False
Divi WordPress Theme,Lightcast,divi wordpress theme,False
Django (Web Framework),Lightcast,django web framework,False
DOM Inspector,Lightcast,dom inspector,False
Dopostback,Lightcast,dopostback,False
Drag And Drop,Lightcast,drag and drop,False
Dynamic Forms,Lightcast,dynamic forms,False
Dynamic HTML,Lightcast,dynamic html,False
Dynamic Web Pages,Lightcast,dynamic web pages,False
Dynamic Websites,Lightcast,dynamic websites,False
Dynamically Generated,Lightcast,dynamically generated,False
Electron Packager,Lightcast,electron packager,False
Elementor Page Builder,Lightcast,elementor page builder,False
Ember CLI,Lightcast,ember cli,False
Ember Model,Lightcast,ember model,False
Express 4,Lightcast,express 4,False
Ext.NET,Lightcast,extnet,False
EZGenerator,Lightcast,ezgenerator,False
Facelets,Lightcast,facelets,False
Firebug,Lightcast,firebug,False
Flask (Web Framework),Lightcast,flask web framework,False
Flex4,Lightcast,flex4,False
Flexbox,Lightcast,flexbox,False
Form Fields,Lightcast,form fields,False
Formbuilder,Lightcast,formbuilder,False
Framing (HTML),Lightcast,framing html,False
FreeMarker,Lightcast,freemarker,False
FrontPage Server Extensions,Lightcast,frontpage server extensions,False
FuelPHP,Lightcast,fuelphp,False
Fusebox (Programming),Lightcast,fusebox programming,False
Genesis Framework,Lightcast,genesis framework,False
Google Closure Tools,Lightcast,google closure tools,False
Google Lighthouse,Lightcast,google lighthouse,False
Google Sites,Lightcast,google sites,False
Google Web Toolkits,Lightcast,google web toolkits,False
Grails (Framework),Lightcast,grails framework,False
Gravity Forms,Lightcast,gravity forms,False
Grid Layout,Lightcast,grid layout,False
Groovy Server Pages,Lightcast,groovy server pages,False
Gulp Sass (Software),Lightcast,gulp sass software,False
Gwt 2.4,Lightcast,gwt 24,False
Hanami,Lightcast,hanami,False
Hierarchical Model View Controller,Lightcast,hierarchical model view controller,False
HoTMetaL,Lightcast,hotmetal,False
HTML 4.0 Certification,Lightcast,html 40 certification,False
HTML Abstraction Markup Language,Lightcast,html abstraction markup language,False
HTML Components,Lightcast,html components,False
HTML Controls,Lightcast,html controls,False
HTML Editor,Lightcast,html editor,False
HTML Emails,Lightcast,html emails,False
HTML Formatting,Lightcast,html formatting,False
HTML Generation,Lightcast,html generation,False
HTML Tables,Lightcast,html tables,False
HTML5,Lightcast,html5,False
HTTP Cookie,Lightcast,http cookie,False
Http Protocols,Lightcast,http protocols,False
HTTP/2,Lightcast,http2,False
Httpclient,Lightcast,httpclient,False
Httpsession,Lightcast,httpsession,False
Hypermedia,Lightcast,hypermedia,False
HyperText Markup Language (HTML),Lightcast,hypertext markup language html,False
ICEfaces,Lightcast,icefaces,False
Interactive Web Pages,Lightcast,interactive web pages,False
Intraweb,Lightcast,intraweb,False
Intuitive Navigation,Lightcast,intuitive navigation,False
Invision Power Board,Lightcast,invision power board,False
Isomorphic JavaScript,Lightcast,isomorphic javascript,False
Isomorphic React,Lightcast,isomorphic react,False
IWeb,Lightcast,iweb,False
JBoss Seam,Lightcast,jboss seam,False
Jekyll,Lightcast,jekyll,False
Jform,Lightcast,jform,False
Jinja (Template Engine),Lightcast,jinja template engine,False
Jotform,Lightcast,jotform,False
JSON Web Signature (JWS),Lightcast,json web signature jws,False
LAMP (Software Bundle),Lightcast,lamp software bundle,False
Landing Page Optimization,Lightcast,landing page optimization,False
Laragon,Lightcast,laragon,False
Leaner Style Sheets (LESS),Lightcast,leaner style sheets less,False
LEMP Stack,Lightcast,lemp stack,False
Less.js (Javascript Library),Lightcast,lessjs javascript library,False
Lightning Web Components,Lightcast,lightning web components,False
Load Time,Lightcast,load time,False
Local Shared Object (Flash),Lightcast,local shared object flash,False
Mach II Framework,Lightcast,mach ii framework,False
Macromedia HomeSite (HTML Editor),Lightcast,macromedia homesite html editor,False
MAMP,Lightcast,mamp,False
Maqetta,Lightcast,maqetta,False
Master Certified Internet Webmaster In Design (MCIWD),Lightcast,master certified internet webmaster in design mciwd,False
Mean Stack,Lightcast,mean stack,False
MERN Stack,Lightcast,mern stack,False
Microformat,Lightcast,microformat,False
